date,bookings,day_of_week,month,year,is_weekend,is_summer,is_holiday_season
2022-04-16,112,Saturday,4,2022,1,0,0
2022-04-17,109,Sunday,4,2022,1,0,0
2022-04-18,85,Monday,4,2022,0,0,0
2022-04-19,86,Tuesday,4,2022,0,0,0
2022-04-20,83,Wednesday,4,2022,0,0,0
2022-04-21,69,Thursday,4,2022,0,0,0
2022-04-22,109,Friday,4,2022,1,0,0
2022-04-23,109,Saturday,4,2022,1,0,0
2022-04-24,114,Sunday,4,2022,1,0,0
2022-04-25,83,Monday,4,2022,0,0,0
2022-04-26,87,Tuesday,4,2022,0,0,0
2022-04-27,84,Wednesday,4,2022,0,0,0
2022-04-28,75,Thursday,4,2022,0,0,0
2022-04-29,118,Friday,4,2022,1,0,0
2022-04-30,115,Saturday,4,2022,1,0,0
2022-05-01,101,Sunday,5,2022,1,0,0
2022-05-02,77,Monday,5,2022,0,0,0
2022-05-03,96,Tuesday,5,2022,0,0,0
2022-05-04,73,Wednesday,5,2022,0,0,0
2022-05-05,89,Thursday,5,2022,0,0,0
2022-05-06,127,Friday,5,2022,1,0,0
2022-05-07,102,Saturday,5,2022,1,0,0
2022-05-08,90,Sunday,5,2022,1,0,0
2022-05-09,85,Monday,5,2022,0,0,0
2022-05-10,81,Tuesday,5,2022,0,0,0
2022-05-11,72,Wednesday,5,2022,0,0,0
2022-05-12,85,Thursday,5,2022,0,0,0
2022-05-13,101,Friday,5,2022,1,0,0
2022-05-14,114,Saturday,5,2022,1,0,0
2022-05-15,88,Sunday,5,2022,1,0,0
2022-05-16,97,Monday,5,2022,0,0,0
2022-05-17,79,Tuesday,5,2022,0,0,0
2022-05-18,82,Wednesday,5,2022,0,0,0
2022-05-19,92,Thursday,5,2022,0,0,0
2022-05-20,100,Friday,5,2022,1,0,0
2022-05-21,112,Saturday,5,2022,1,0,0
2022-05-22,106,Sunday,5,2022,1,0,0
2022-05-23,72,Monday,5,2022,0,0,0
2022-05-24,87,Tuesday,5,2022,0,0,0
2022-05-25,87,Wednesday,5,2022,0,0,0
2022-05-26,92,Thursday,5,2022,0,0,0
2022-05-27,100,Friday,5,2022,1,0,0
2022-05-28,100,Saturday,5,2022,1,0,0
2022-05-29,100,Sunday,5,2022,1,0,0
2022-05-30,88,Monday,5,2022,0,0,0
2022-05-31,88,Tuesday,5,2022,0,0,0
2022-06-01,128,Wednesday,6,2022,0,1,0
2022-06-02,120,Thursday,6,2022,0,1,0
2022-06-03,152,Friday,6,2022,1,1,0
2022-06-04,153,Saturday,6,2022,1,1,0
2022-06-05,130,Sunday,6,2022,1,1,0
2022-06-06,141,Monday,6,2022,0,1,0
2022-06-07,130,Tuesday,6,2022,0,1,0
2022-06-08,116,Wednesday,6,2022,0,1,0
2022-06-09,131,Thursday,6,2022,0,1,0
2022-06-10,143,Friday,6,2022,1,1,0
2022-06-11,157,Saturday,6,2022,1,1,0
2022-06-12,145,Sunday,6,2022,1,1,0
2022-06-13,119,Monday,6,2022,0,1,0
2022-06-14,134,Tuesday,6,2022,0,1,0
2022-06-15,129,Wednesday,6,2022,0,1,0
2022-06-16,133,Thursday,6,2022,0,1,0
2022-06-17,166,Friday,6,2022,1,1,0
2022-06-18,149,Saturday,6,2022,1,1,0
2022-06-19,130,Sunday,6,2022,1,1,0
2022-06-20,119,Monday,6,2022,0,1,0
2022-06-21,120,Tuesday,6,2022,0,1,0
2022-06-22,126,Wednesday,6,2022,0,1,0
2022-06-23,129,Thursday,6,2022,0,1,0
2022-06-24,154,Friday,6,2022,1,1,0
2022-06-25,158,Saturday,6,2022,1,1,0
2022-06-26,137,Sunday,6,2022,1,1,0
2022-06-27,138,Monday,6,2022,0,1,0
2022-06-28,125,Tuesday,6,2022,0,1,0
2022-06-29,148,Wednesday,6,2022,0,1,0
2022-06-30,132,Thursday,6,2022,0,1,0
2022-07-01,145,Friday,7,2022,1,1,0
2022-07-02,143,Saturday,7,2022,1,1,0
2022-07-03,141,Sunday,7,2022,1,1,0
2022-07-04,125,Monday,7,2022,0,1,0
2022-07-05,133,Tuesday,7,2022,0,1,0
2022-07-06,131,Wednesday,7,2022,0,1,0
2022-07-07,126,Thursday,7,2022,0,1,0
2022-07-08,145,Friday,7,2022,1,1,0
2022-07-09,140,Saturday,7,2022,1,1,0
2022-07-10,134,Sunday,7,2022,1,1,0
2022-07-11,134,Monday,7,2022,0,1,0
2022-07-12,129,Tuesday,7,2022,0,1,0
2022-07-13,117,Wednesday,7,2022,0,1,0
2022-07-14,129,Thursday,7,2022,0,1,0
2022-07-15,155,Friday,7,2022,1,1,0
2022-07-16,145,Saturday,7,2022,1,1,0
2022-07-17,139,Sunday,7,2022,1,1,0
2022-07-18,128,Monday,7,2022,0,1,0
2022-07-19,118,Tuesday,7,2022,0,1,0
2022-07-20,130,Wednesday,7,2022,0,1,0
2022-07-21,132,Thursday,7,2022,0,1,0
2022-07-22,161,Friday,7,2022,1,1,0
2022-07-23,161,Saturday,7,2022,1,1,0
2022-07-24,127,Sunday,7,2022,1,1,0
2022-07-25,120,Monday,7,2022,0,1,0
2022-07-26,132,Tuesday,7,2022,0,1,0
2022-07-27,132,Wednesday,7,2022,0,1,0
2022-07-28,132,Thursday,7,2022,0,1,0
2022-07-29,184,Friday,7,2022,1,1,0
2022-07-30,157,Saturday,7,2022,1,1,0
2022-07-31,147,Sunday,7,2022,1,1,0
2022-08-01,136,Monday,8,2022,0,1,0
2022-08-02,133,Tuesday,8,2022,0,1,0
2022-08-03,126,Wednesday,8,2022,0,1,0
2022-08-04,134,Thursday,8,2022,0,1,0
2022-08-05,147,Friday,8,2022,1,1,0
2022-08-06,151,Saturday,8,2022,1,1,0
2022-08-07,134,Sunday,8,2022,1,1,0
2022-08-08,129,Monday,8,2022,0,1,0
2022-08-09,147,Tuesday,8,2022,0,1,0
2022-08-10,113,Wednesday,8,2022,0,1,0
2022-08-11,134,Thursday,8,2022,0,1,0
2022-08-12,141,Friday,8,2022,1,1,0
2022-08-13,150,Saturday,8,2022,1,1,0
2022-08-14,147,Sunday,8,2022,1,1,0
2022-08-15,129,Monday,8,2022,0,1,0
2022-08-16,120,Tuesday,8,2022,0,1,0
2022-08-17,123,Wednesday,8,2022,0,1,0
2022-08-18,134,Thursday,8,2022,0,1,0
2022-08-19,148,Friday,8,2022,1,1,0
2022-08-20,155,Saturday,8,2022,1,1,0
2022-08-21,139,Sunday,8,2022,1,1,0
2022-08-22,124,Monday,8,2022,0,1,0
2022-08-23,146,Tuesday,8,2022,0,1,0
2022-08-24,134,Wednesday,8,2022,0,1,0
2022-08-25,113,Thursday,8,2022,0,1,0
2022-08-26,155,Friday,8,2022,1,1,0
2022-08-27,149,Saturday,8,2022,1,1,0
2022-08-28,146,Sunday,8,2022,1,1,0
2022-08-29,123,Monday,8,2022,0,1,0
2022-08-30,128,Tuesday,8,2022,0,1,0
2022-08-31,133,Wednesday,8,2022,0,1,0
2022-09-01,96,Thursday,9,2022,0,0,0
2022-09-02,105,Friday,9,2022,1,0,0
2022-09-03,112,Saturday,9,2022,1,0,0
2022-09-04,96,Sunday,9,2022,1,0,0
2022-09-05,84,Monday,9,2022,0,0,0
2022-09-06,104,Tuesday,9,2022,0,0,0
2022-09-07,93,Wednesday,9,2022,0,0,0
2022-09-08,79,Thursday,9,2022,0,0,0
2022-09-09,122,Friday,9,2022,1,0,0
2022-09-10,132,Saturday,9,2022,1,0,0
2022-09-11,108,Sunday,9,2022,1,0,0
2022-09-12,78,Monday,9,2022,0,0,0
2022-09-13,86,Tuesday,9,2022,0,0,0
2022-09-14,100,Wednesday,9,2022,0,0,0
2022-09-15,84,Thursday,9,2022,0,0,0
2022-09-16,118,Friday,9,2022,1,0,0
2022-09-17,121,Saturday,9,2022,1,0,0
2022-09-18,92,Sunday,9,2022,1,0,0
2022-09-19,89,Monday,9,2022,0,0,0
2022-09-20,64,Tuesday,9,2022,0,0,0
2022-09-21,82,Wednesday,9,2022,0,0,0
2022-09-22,88,Thursday,9,2022,0,0,0
2022-09-23,105,Friday,9,2022,1,0,0
2022-09-24,128,Saturday,9,2022,1,0,0
2022-09-25,89,Sunday,9,2022,1,0,0
2022-09-26,87,Monday,9,2022,0,0,0
2022-09-27,91,Tuesday,9,2022,0,0,0
2022-09-28,102,Wednesday,9,2022,0,0,0
2022-09-29,79,Thursday,9,2022,0,0,0
2022-09-30,125,Friday,9,2022,1,0,0
2022-10-01,116,Saturday,10,2022,1,0,0
2022-10-02,93,Sunday,10,2022,1,0,0
2022-10-03,94,Monday,10,2022,0,0,0
2022-10-04,92,Tuesday,10,2022,0,0,0
2022-10-05,86,Wednesday,10,2022,0,0,0
2022-10-06,91,Thursday,10,2022,0,0,0
2022-10-07,113,Friday,10,2022,1,0,0
2022-10-08,117,Saturday,10,2022,1,0,0
2022-10-09,106,Sunday,10,2022,1,0,0
2022-10-10,103,Monday,10,2022,0,0,0
2022-10-11,81,Tuesday,10,2022,0,0,0
2022-10-12,108,Wednesday,10,2022,0,0,0
2022-10-13,75,Thursday,10,2022,0,0,0
2022-10-14,115,Friday,10,2022,1,0,0
2022-10-15,121,Saturday,10,2022,1,0,0
2022-10-16,103,Sunday,10,2022,1,0,0
2022-10-17,86,Monday,10,2022,0,0,0
2022-10-18,89,Tuesday,10,2022,0,0,0
2022-10-19,87,Wednesday,10,2022,0,0,0
2022-10-20,86,Thursday,10,2022,0,0,0
2022-10-21,123,Friday,10,2022,1,0,0
2022-10-22,119,Saturday,10,2022,1,0,0
2022-10-23,96,Sunday,10,2022,1,0,0
2022-10-24,99,Monday,10,2022,0,0,0
2022-10-25,94,Tuesday,10,2022,0,0,0
2022-10-26,98,Wednesday,10,2022,0,0,0
2022-10-27,96,Thursday,10,2022,0,0,0
2022-10-28,110,Friday,10,2022,1,0,0
2022-10-29,112,Saturday,10,2022,1,0,0
2022-10-30,108,Sunday,10,2022,1,0,0
2022-10-31,97,Monday,10,2022,0,0,0
2022-11-01,91,Tuesday,11,2022,0,0,0
2022-11-02,93,Wednesday,11,2022,0,0,0
2022-11-03,102,Thursday,11,2022,0,0,0
2022-11-04,112,Friday,11,2022,1,0,0
2022-11-05,121,Saturday,11,2022,1,0,0
2022-11-06,100,Sunday,11,2022,1,0,0
2022-11-07,90,Monday,11,2022,0,0,0
2022-11-08,101,Tuesday,11,2022,0,0,0
2022-11-09,99,Wednesday,11,2022,0,0,0
2022-11-10,99,Thursday,11,2022,0,0,0
2022-11-11,128,Friday,11,2022,1,0,0
2022-11-12,117,Saturday,11,2022,1,0,0
2022-11-13,108,Sunday,11,2022,1,0,0
2022-11-14,90,Monday,11,2022,0,0,0
2022-11-15,95,Tuesday,11,2022,0,0,0
2022-11-16,91,Wednesday,11,2022,0,0,0
2022-11-17,93,Thursday,11,2022,0,0,0
2022-11-18,122,Friday,11,2022,1,0,0
2022-11-19,111,Saturday,11,2022,1,0,0
2022-11-20,119,Sunday,11,2022,1,0,0
2022-11-21,84,Monday,11,2022,0,0,0
2022-11-22,83,Tuesday,11,2022,0,0,0
2022-11-23,102,Wednesday,11,2022,0,0,0
2022-11-24,99,Thursday,11,2022,0,0,0
2022-11-25,123,Friday,11,2022,1,0,0
2022-11-26,123,Saturday,11,2022,1,0,0
2022-11-27,103,Sunday,11,2022,1,0,0
2022-11-28,86,Monday,11,2022,0,0,0
2022-11-29,93,Tuesday,11,2022,0,0,0
2022-11-30,87,Wednesday,11,2022,0,0,0
2022-12-01,101,Thursday,12,2022,0,0,0
2022-12-02,117,Friday,12,2022,1,0,0
2022-12-03,111,Saturday,12,2022,1,0,0
2022-12-04,100,Sunday,12,2022,1,0,0
2022-12-05,96,Monday,12,2022,0,0,0
2022-12-06,89,Tuesday,12,2022,0,0,0
2022-12-07,87,Wednesday,12,2022,0,0,0
2022-12-08,95,Thursday,12,2022,0,0,0
2022-12-09,120,Friday,12,2022,1,0,0
2022-12-10,114,Saturday,12,2022,1,0,0
2022-12-11,99,Sunday,12,2022,1,0,0
2022-12-12,95,Monday,12,2022,0,0,0
2022-12-13,82,Tuesday,12,2022,0,0,0
2022-12-14,82,Wednesday,12,2022,0,0,0
2022-12-15,88,Thursday,12,2022,0,0,0
2022-12-16,117,Friday,12,2022,1,0,0
2022-12-17,121,Saturday,12,2022,1,0,0
2022-12-18,115,Sunday,12,2022,1,0,0
2022-12-19,100,Monday,12,2022,0,0,0
2022-12-20,127,Tuesday,12,2022,0,0,1
2022-12-21,129,Wednesday,12,2022,0,0,1
2022-12-22,121,Thursday,12,2022,0,0,1
2022-12-23,154,Friday,12,2022,1,0,1
2022-12-24,151,Saturday,12,2022,1,0,1
2022-12-25,141,Sunday,12,2022,1,0,1
2022-12-26,122,Monday,12,2022,0,0,1
2022-12-27,133,Tuesday,12,2022,0,0,1
2022-12-28,141,Wednesday,12,2022,0,0,1
2022-12-29,128,Thursday,12,2022,0,0,1
2022-12-30,157,Friday,12,2022,1,0,1
2022-12-31,160,Saturday,12,2022,1,0,1
2023-01-01,101,Sunday,1,2023,1,0,0
2023-01-02,96,Monday,1,2023,0,0,0
2023-01-03,94,Tuesday,1,2023,0,0,0
2023-01-04,95,Wednesday,1,2023,0,0,0
2023-01-05,88,Thursday,1,2023,0,0,0
2023-01-06,119,Friday,1,2023,1,0,0
2023-01-07,123,Saturday,1,2023,1,0,0
2023-01-08,116,Sunday,1,2023,1,0,0
2023-01-09,102,Monday,1,2023,0,0,0
2023-01-10,112,Tuesday,1,2023,0,0,0
2023-01-11,88,Wednesday,1,2023,0,0,0
2023-01-12,102,Thursday,1,2023,0,0,0
2023-01-13,121,Friday,1,2023,1,0,0
2023-01-14,137,Saturday,1,2023,1,0,0
2023-01-15,98,Sunday,1,2023,1,0,0
2023-01-16,88,Monday,1,2023,0,0,0
2023-01-17,90,Tuesday,1,2023,0,0,0
2023-01-18,78,Wednesday,1,2023,0,0,0
2023-01-19,91,Thursday,1,2023,0,0,0
2023-01-20,114,Friday,1,2023,1,0,0
2023-01-21,121,Saturday,1,2023,1,0,0
2023-01-22,108,Sunday,1,2023,1,0,0
2023-01-23,110,Monday,1,2023,0,0,0
2023-01-24,103,Tuesday,1,2023,0,0,0
2023-01-25,90,Wednesday,1,2023,0,0,0
2023-01-26,88,Thursday,1,2023,0,0,0
2023-01-27,124,Friday,1,2023,1,0,0
2023-01-28,110,Saturday,1,2023,1,0,0
2023-01-29,120,Sunday,1,2023,1,0,0
2023-01-30,105,Monday,1,2023,0,0,0
2023-01-31,92,Tuesday,1,2023,0,0,0
2023-02-01,82,Wednesday,2,2023,0,0,0
2023-02-02,106,Thursday,2,2023,0,0,0
2023-02-03,120,Friday,2,2023,1,0,0
2023-02-04,130,Saturday,2,2023,1,0,0
2023-02-05,93,Sunday,2,2023,1,0,0
2023-02-06,91,Monday,2,2023,0,0,0
2023-02-07,96,Tuesday,2,2023,0,0,0
2023-02-08,96,Wednesday,2,2023,0,0,0
2023-02-09,92,Thursday,2,2023,0,0,0
2023-02-10,126,Friday,2,2023,1,0,0
2023-02-11,112,Saturday,2,2023,1,0,0
2023-02-12,105,Sunday,2,2023,1,0,0
2023-02-13,97,Monday,2,2023,0,0,0
2023-02-14,100,Tuesday,2,2023,0,0,0
2023-02-15,102,Wednesday,2,2023,0,0,0
2023-02-16,87,Thursday,2,2023,0,0,0
2023-02-17,109,Friday,2,2023,1,0,0
2023-02-18,131,Saturday,2,2023,1,0,0
2023-02-19,109,Sunday,2,2023,1,0,0
2023-02-20,90,Monday,2,2023,0,0,0
2023-02-21,109,Tuesday,2,2023,0,0,0
2023-02-22,97,Wednesday,2,2023,0,0,0
2023-02-23,106,Thursday,2,2023,0,0,0
2023-02-24,122,Friday,2,2023,1,0,0
2023-02-25,138,Saturday,2,2023,1,0,0
2023-02-26,120,Sunday,2,2023,1,0,0
2023-02-27,94,Monday,2,2023,0,0,0
2023-02-28,104,Tuesday,2,2023,0,0,0
2023-03-01,102,Wednesday,3,2023,0,0,0
2023-03-02,107,Thursday,3,2023,0,0,0
2023-03-03,114,Friday,3,2023,1,0,0
2023-03-04,127,Saturday,3,2023,1,0,0
2023-03-05,115,Sunday,3,2023,1,0,0
2023-03-06,83,Monday,3,2023,0,0,0
2023-03-07,87,Tuesday,3,2023,0,0,0
2023-03-08,80,Wednesday,3,2023,0,0,0
2023-03-09,95,Thursday,3,2023,0,0,0
2023-03-10,128,Friday,3,2023,1,0,0
2023-03-11,134,Saturday,3,2023,1,0,0
2023-03-12,107,Sunday,3,2023,1,0,0
2023-03-13,110,Monday,3,2023,0,0,0
2023-03-14,86,Tuesday,3,2023,0,0,0
2023-03-15,83,Wednesday,3,2023,0,0,0
2023-03-16,97,Thursday,3,2023,0,0,0
2023-03-17,125,Friday,3,2023,1,0,0
2023-03-18,122,Saturday,3,2023,1,0,0
2023-03-19,91,Sunday,3,2023,1,0,0
2023-03-20,97,Monday,3,2023,0,0,0
2023-03-21,87,Tuesday,3,2023,0,0,0
2023-03-22,103,Wednesday,3,2023,0,0,0
2023-03-23,100,Thursday,3,2023,0,0,0
2023-03-24,115,Friday,3,2023,1,0,0
2023-03-25,118,Saturday,3,2023,1,0,0
2023-03-26,99,Sunday,3,2023,1,0,0
2023-03-27,97,Monday,3,2023,0,0,0
2023-03-28,105,Tuesday,3,2023,0,0,0
2023-03-29,90,Wednesday,3,2023,0,0,0
2023-03-30,102,Thursday,3,2023,0,0,0
2023-03-31,118,Friday,3,2023,1,0,0
2023-04-01,116,Saturday,4,2023,1,0,0
2023-04-02,107,Sunday,4,2023,1,0,0
2023-04-03,89,Monday,4,2023,0,0,0
2023-04-04,93,Tuesday,4,2023,0,0,0
2023-04-05,88,Wednesday,4,2023,0,0,0
2023-04-06,114,Thursday,4,2023,0,0,0
2023-04-07,123,Friday,4,2023,1,0,0
2023-04-08,117,Saturday,4,2023,1,0,0
2023-04-09,110,Sunday,4,2023,1,0,0
2023-04-10,97,Monday,4,2023,0,0,0
2023-04-11,96,Tuesday,4,2023,0,0,0
2023-04-12,103,Wednesday,4,2023,0,0,0
2023-04-13,104,Thursday,4,2023,0,0,0
2023-04-14,119,Friday,4,2023,1,0,0
2023-04-15,119,Saturday,4,2023,1,0,0
2023-04-16,106,Sunday,4,2023,1,0,0
2023-04-17,80,Monday,4,2023,0,0,0
2023-04-18,86,Tuesday,4,2023,0,0,0
2023-04-19,109,Wednesday,4,2023,0,0,0
2023-04-20,112,Thursday,4,2023,0,0,0
2023-04-21,122,Friday,4,2023,1,0,0
2023-04-22,128,Saturday,4,2023,1,0,0
2023-04-23,111,Sunday,4,2023,1,0,0
2023-04-24,123,Monday,4,2023,0,0,0
2023-04-25,108,Tuesday,4,2023,0,0,0
2023-04-26,98,Wednesday,4,2023,0,0,0
2023-04-27,91,Thursday,4,2023,0,0,0
2023-04-28,111,Friday,4,2023,1,0,0
2023-04-29,125,Saturday,4,2023,1,0,0
2023-04-30,103,Sunday,4,2023,1,0,0
2023-05-01,88,Monday,5,2023,0,0,0
2023-05-02,94,Tuesday,5,2023,0,0,0
2023-05-03,90,Wednesday,5,2023,0,0,0
2023-05-04,113,Thursday,5,2023,0,0,0
2023-05-05,131,Friday,5,2023,1,0,0
2023-05-06,124,Saturday,5,2023,1,0,0
2023-05-07,121,Sunday,5,2023,1,0,0
2023-05-08,100,Monday,5,2023,0,0,0
2023-05-09,92,Tuesday,5,2023,0,0,0
2023-05-10,111,Wednesday,5,2023,0,0,0
2023-05-11,104,Thursday,5,2023,0,0,0
2023-05-12,116,Friday,5,2023,1,0,0
2023-05-13,123,Saturday,5,2023,1,0,0
2023-05-14,102,Sunday,5,2023,1,0,0
2023-05-15,88,Monday,5,2023,0,0,0
2023-05-16,107,Tuesday,5,2023,0,0,0
2023-05-17,115,Wednesday,5,2023,0,0,0
2023-05-18,88,Thursday,5,2023,0,0,0
2023-05-19,129,Friday,5,2023,1,0,0
2023-05-20,119,Saturday,5,2023,1,0,0
2023-05-21,106,Sunday,5,2023,1,0,0
2023-05-22,95,Monday,5,2023,0,0,0
2023-05-23,93,Tuesday,5,2023,0,0,0
2023-05-24,100,Wednesday,5,2023,0,0,0
2023-05-25,93,Thursday,5,2023,0,0,0
2023-05-26,127,Friday,5,2023,1,0,0
2023-05-27,125,Saturday,5,2023,1,0,0
2023-05-28,108,Sunday,5,2023,1,0,0
2023-05-29,93,Monday,5,2023,0,0,0
2023-05-30,95,Tuesday,5,2023,0,0,0
2023-05-31,106,Wednesday,5,2023,0,0,0
2023-06-01,144,Thursday,6,2023,0,1,0
2023-06-02,157,Friday,6,2023,1,1,0
2023-06-03,166,Saturday,6,2023,1,1,0
2023-06-04,156,Sunday,6,2023,1,1,0
2023-06-05,127,Monday,6,2023,0,1,0
2023-06-06,145,Tuesday,6,2023,0,1,0
2023-06-07,135,Wednesday,6,2023,0,1,0
2023-06-08,145,Thursday,6,2023,0,1,0
2023-06-09,159,Friday,6,2023,1,1,0
2023-06-10,151,Saturday,6,2023,1,1,0
2023-06-11,138,Sunday,6,2023,1,1,0
2023-06-12,141,Monday,6,2023,0,1,0
2023-06-13,143,Tuesday,6,2023,0,1,0
2023-06-14,133,Wednesday,6,2023,0,1,0
2023-06-15,146,Thursday,6,2023,0,1,0
2023-06-16,152,Friday,6,2023,1,1,0
2023-06-17,165,Saturday,6,2023,1,1,0
2023-06-18,141,Sunday,6,2023,1,1,0
2023-06-19,136,Monday,6,2023,0,1,0
2023-06-20,141,Tuesday,6,2023,0,1,0
2023-06-21,134,Wednesday,6,2023,0,1,0
2023-06-22,138,Thursday,6,2023,0,1,0
2023-06-23,174,Friday,6,2023,1,1,0
2023-06-24,161,Saturday,6,2023,1,1,0
2023-06-25,158,Sunday,6,2023,1,1,0
2023-06-26,132,Monday,6,2023,0,1,0
2023-06-27,145,Tuesday,6,2023,0,1,0
2023-06-28,153,Wednesday,6,2023,0,1,0
2023-06-29,121,Thursday,6,2023,0,1,0
2023-06-30,160,Friday,6,2023,1,1,0
2023-07-01,171,Saturday,7,2023,1,1,0
2023-07-02,150,Sunday,7,2023,1,1,0
2023-07-03,144,Monday,7,2023,0,1,0
2023-07-04,137,Tuesday,7,2023,0,1,0
2023-07-05,142,Wednesday,7,2023,0,1,0
2023-07-06,140,Thursday,7,2023,0,1,0
2023-07-07,176,Friday,7,2023,1,1,0
2023-07-08,169,Saturday,7,2023,1,1,0
2023-07-09,154,Sunday,7,2023,1,1,0
2023-07-10,138,Monday,7,2023,0,1,0
2023-07-11,138,Tuesday,7,2023,0,1,0
